,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_module__d_model,param_module__dropout,param_module__nhead,param_module__num_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.239328956604004,0.5857583205334648,0.009949398040771485,0.0006308289138056577,128,0.001,128,0.0,1,1,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 1, 'module__num_layers': 1}",0.34803014278159705,0.3679956896551724,0.3219602977667494,0.8306236673773988,0.6913223140495869,0.5119864223261008,0.2085262461688558,1
1,1.2421134948730468,0.011106318854981983,0.011348485946655273,0.000493278556334316,128,0.001,128,0.0,1,2,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 1, 'module__num_layers': 2}",0.3963841882601798,0.0660021551724138,0.3492555831265509,0.8207622601279317,0.7168595041322314,0.4698527381638615,0.2709931475332099,2
2,1.5234925746917725,0.008598206108758869,0.012945938110351562,0.0006381740161933465,128,0.001,128,0.0,1,3,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 1, 'module__num_layers': 3}",0.39892913802221047,0.09038254310344827,0.35142679900744417,0.7810501066098081,0.4743801652892562,0.41923375040643346,0.22230851498646875,13
3,0.9332338809967041,0.018314486743826613,0.008949804306030273,0.0006323378780481733,128,0.001,128,0.0,2,1,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 2, 'module__num_layers': 1}",0.25664331041776833,0.15894396551724138,0.31348221670802323,0.7786513859275055,0.6786776859504132,0.4372797129041904,0.2450443709921492,7
4,1.2426178455352783,0.011110726082510082,0.010146999359130859,0.0007482960507663368,128,0.001,128,0.0,2,2,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 2, 'module__num_layers': 2}",0.3154746166049709,0.11328125000000001,0.3666253101736973,0.7723880597014925,0.5395867768595042,0.4214712026679329,0.22195419551018683,11
5,1.553111457824707,0.029446002561109973,0.010950708389282226,0.0008868868448362996,128,0.001,128,0.0,2,3,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 2, 'module__num_layers': 3}",0.2786224219989423,0.09307650862068965,0.37882547559966917,0.8187633262260128,0.5419834710743802,0.4222542407039388,0.24593848002665533,10
6,0.9279364585876465,0.012600246115679017,0.008752870559692382,0.0007457285481014237,128,0.001,128,0.0,4,1,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 4, 'module__num_layers': 1}",0.36210999471179267,0.22561961206896552,0.3200992555831265,0.7991737739872068,0.5516528925619836,0.45173110578261505,0.20356132554502324,4
7,1.2391202449798584,0.005743325299180006,0.0099578857421875,0.0008883356420145837,128,0.001,128,0.0,4,2,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 4, 'module__num_layers': 2}",0.34905473294553147,0.03502155172413793,0.36155913978494625,0.8568763326226013,0.5687603305785125,0.4342544175311459,0.27152590836265955,8
8,1.5326762199401855,0.009491090601478893,0.011340570449829102,0.0004833184223664069,128,0.001,128,0.0,4,3,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 128, 'module__dropout': 0.0, 'module__nhead': 4, 'module__num_layers': 3}",0.22874801692226332,0.0863415948275862,0.28639371381306866,0.7895788912579957,0.5533884297520661,0.388890129314596,0.2511166270349012,18
9,1.0773005962371827,0.015771713746837127,0.010752010345458984,0.00040126280065454456,128,0.001,256,0.0,1,1,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 1, 'module__num_layers': 1}",0.3596641988365944,0.07314116379310345,0.309863523573201,0.7501332622601279,0.5289256198347106,0.40434555365954744,0.22614550964027708,16
10,1.5576065540313722,0.016782078727908815,0.012750196456909179,0.0007360775125967899,128,0.001,256,0.0,1,2,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 1, 'module__num_layers': 2}",0.4118191433104177,0.07165948275862069,0.3452233250620347,0.7042910447761194,0.5011570247933884,0.40683000414011616,0.20665924142965914,15
11,2.0222090244293214,0.030946208443430198,0.015140056610107422,0.0004093713237735393,128,0.001,256,0.0,1,3,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 1, 'module__num_layers': 3}",0.4084479111581174,0.06317349137931035,0.3178246484698098,0.6819696162046908,0.5163223140495867,0.397547596252303,0.20653519133523565,17
12,1.0950547695159911,0.014019471914034678,0.009554147720336914,0.0007930249375309516,128,0.001,256,0.0,2,1,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 2, 'module__num_layers': 1}",0.31620174510840826,0.2796336206896552,0.28008684863523575,0.8344882729211088,0.5437190082644627,0.45082589912377413,0.21559602463643673,5
13,1.589657974243164,0.019307280995565033,0.011550617218017579,0.0007940818230632134,128,0.001,256,0.0,2,2,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 2, 'module__num_layers': 2}",0.3511204389212057,0.08903556034482758,0.33788254755996694,0.7698560767590619,0.5578512396694215,0.42114917265089674,0.22909420157683685,12
14,2.0699934482574465,0.0290944282406534,0.013154172897338867,0.0009815824833007158,128,0.001,256,0.0,2,3,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 2, 'module__num_layers': 3}",0.3702075621364358,0.10890355603448276,0.2492245657568238,0.7671908315565031,0.5492561983471074,0.4089565427662706,0.23024481833344668,14
15,1.0925123691558838,0.010230923436372252,0.009949159622192384,0.0006315058105556445,128,0.001,256,0.0,4,1,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 4, 'module__num_layers': 1}",0.4660563194077208,0.2130926724137931,0.35194375516956167,0.7745202558635395,0.5272727272727272,0.46657714602546846,0.18756778849331346,3
16,1.6029416084289552,0.010322890248539983,0.011348915100097657,0.0007967188306308906,128,0.001,256,0.0,4,2,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 4, 'module__num_layers': 2}",0.3291909042834479,0.07192887931034483,0.34543010752688175,0.8610074626865671,0.5045454545454546,0.4224205616705392,0.2594481397975325,9
17,2.0892923355102537,0.03197546310156454,0.013737249374389648,0.0007457985806636777,128,0.001,256,0.0,4,3,"{'batch_size': 128, 'lr': 0.001, 'module__d_model': 256, 'module__dropout': 0.0, 'module__nhead': 4, 'module__num_layers': 3}",0.4000363564251719,0.35095635775862066,0.38616625310173697,0.5920842217484008,0.5177685950413223,0.4494023568150506,0.09072979515861722,6
